銀行,第一類帳戶,第二類帳戶,第三類帳戶,合計,年份,季度,年季,年月,類型
華南商業銀行,"8,333","73,149",0,"81,482",2019,Q4,2019-Q4,Dec-19,公股行庫
彰化商業銀行,"6,247","15,048","10,598","31,893",2019,Q4,2019-Q4,Dec-19,公股行庫
上海商業儲蓄銀行,"1,267",451,0,"1,718",2019,Q4,2019-Q4,Dec-19,民營銀行
台北富邦商業銀行,"2,516","3,751","7,761","14,028",2019,Q4,2019-Q4,Dec-19,民營銀行
國泰世華商業銀行,"124,301","332,113","8,489","464,903",2019,Q4,2019-Q4,Dec-19,民營銀行
兆豐國際商業銀行,"16,890","21,460","19,610","57,960",2019,Q4,2019-Q4,Dec-19,公股行庫
花旗(台灣)商業銀行,"1,336",0,0,"1,336",2019,Q4,2019-Q4,Dec-19,民營銀行
王道商業銀行,"70,850",0,"353,092","423,942",2019,Q4,2019-Q4,Dec-19,民營銀行
臺灣中小企業銀行,894,"4,133",0,"5,027",2019,Q4,2019-Q4,Dec-19,公股行庫
渣打國際商業銀行,"4,288",701,"2,647","7,636",2019,Q4,2019-Q4,Dec-19,民營銀行
台中商業銀行,0,127,0,127,2019,Q4,2019-Q4,Dec-19,民營銀行
華泰商業銀行,13,0,40,53,2019,Q4,2019-Q4,Dec-19,民營銀行
臺灣新光商業銀行,"1,011","1,520","2,601","5,132",2019,Q4,2019-Q4,Dec-19,民營銀行
陽信商業銀行,529,792,0,"1,321",2019,Q4,2019-Q4,Dec-19,民營銀行
板信商業銀行,0,19,0,19,2019,Q4,2019-Q4,Dec-19,民營銀行
聯邦商業銀行,"2,679",0,"7,519","10,198",2019,Q4,2019-Q4,Dec-19,民營銀行
遠東國際商業銀行,19,690,"1,838","2,547",2019,Q4,2019-Q4,Dec-19,民營銀行
元大商業銀行,8,98,194,300,2019,Q4,2019-Q4,Dec-19,民營銀行
永豐商業銀行,"52,472","46,673","125,374","224,519",2019,Q4,2019-Q4,Dec-19,民營銀行
玉山商業銀行,"24,588",0,"12,282","36,870",2019,Q4,2019-Q4,Dec-19,民營銀行
凱基商業銀行,531,0,0,531,2019,Q4,2019-Q4,Dec-19,民營銀行
星展(台灣)商業銀行,0,0,"13,436","13,436",2019,Q4,2019-Q4,Dec-19,民營銀行
台新國際商業銀行,"700,344","399,421","693,268","1,793,033",2019,Q4,2019-Q4,Dec-19,民營銀行
日盛國際商業銀行,0,50,64,114,2019,Q4,2019-Q4,Dec-19,民營銀行
安泰商業銀行,4,202,8,214,2019,Q4,2019-Q4,Dec-19,民營銀行
中國信託商業銀行,"12,800","15,784","19,548","48,132",2019,Q4,2019-Q4,Dec-19,民營銀行
臺灣銀行,385,191,0,576,2019,Q3,2019-Q3,Sep-19,公股行庫
臺灣土地銀行,181,114,0,295,2019,Q3,2019-Q3,Sep-19,公股行庫
合作金庫商業銀行,7141,8966,0,16107,2019,Q3,2019-Q3,Sep-19,公股行庫
第一商業銀行,1356,64220,13688,79264,2019,Q3,2019-Q3,Sep-19,公股行庫
華南商業銀行,8123,71348,0,79471,2019,Q3,2019-Q3,Sep-19,公股行庫
彰化商業銀行,4396,12601,6764,23761,2019,Q3,2019-Q3,Sep-19,公股行庫
上海商業儲蓄銀行,1193,400,0,1593,2019,Q3,2019-Q3,Sep-19,民營銀行
台北富邦商業銀行,2101,2980,5418,10499,2019,Q3,2019-Q3,Sep-19,民營銀行
